measures,8,,,,,
beats,4,,,,,
divisions,2,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
40,64,67,64,98,0,98,
0,0,0,0,0,0,0,
35,0,0,0,98,98,98,
0,66,69,66,98,0,0,
28,67,71,67,98,0,98,
0,0,0,0,0,0,98,
35,67,0,67,98,98,98,
0,0,0,0,0,0,0,
38,66,69,66,98,0,98,
0,64,67,64,0,0,98,
33,62,66,62,98,98,98,
0,64,67,64,0,0,0,
38,66,69,66,98,0,98,
0,0,0,0,0,0,98,
33,0,0,0,98,98,98,
0,0,0,0,0,98,0,
33,72,76,72,98,0,98,
0,0,0,0,0,0,98,
40,0,0,0,98,98,0,
0,74,78,74,0,0,98,
45,76,79,76,98,0,98,
0,0,0,0,0,0,98,
40,76,0,76,98,98,0,
0,0,0,0,0,0,98,
43,74,79,74,98,0,0,
0,72,78,72,0,0,98,
38,71,76,71,98,98,98,
0,72,74,72,0,0,98,
43,74,71,74,98,0,0,
0,0,0,0,0,98,98,
38,0,0,0,98,98,98,
0,0,0,0,0,98,98,
35,66,71,66,98,0,98,
0,0,0,0,0,0,98,
30,0,75,0,98,98,0,
0,67,0,67,0,0,98,
35,69,69,69,98,0,98,
0,0,0,0,0,0,0,
30,67,71,67,98,98,98,
0,66,0,66,0,0,98,
40,67,69,67,98,0,0,
0,0,0,0,0,0,98,
42,64,67,64,0,98,98,
0,0,0,0,98,0,0,
43,71,64,71,98,0,0,
0,0,0,0,0,98,98,
45,0,0,0,0,98,98,
0,64,0,64,98,98,98,
47,63,63,63,98,0,0,
0,0,0,0,0,0,98,
45,59,61,59,0,98,98,
0,61,0,61,98,0,98,
43,63,63,63,98,0,0,
0,64,0,64,0,98,98,
42,66,64,66,0,98,98,
0,67,0,67,98,0,98,
35,69,63,69,98,0,0,
0,71,0,71,0,0,98,
39,69,69,69,0,98,98,
0,67,0,67,98,0,98,
35,66,71,66,98,98,0,
0,71,0,71,0,98,98,
39,78,67,78,0,98,0,
0,79,0,79,98,98,98,
