measures,4,,,,,
beats,4,,,,,
divisions,4,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,0,0,0,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,54,0,0,0,0,0,
38,0,0,57,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
36,0,0,0,98,0,0,
0,0,0,0,0,98,0,
0,0,0,0,0,0,0,
37,0,71,0,98,0,98,
0,0,0,0,0,0,0,
38,57,72,60,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,0,0,0,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,64,0,0,0,
40,60,0,0,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
38,0,0,0,98,0,0,
0,0,0,0,0,98,0,
40,0,71,0,0,0,0,
0,0,0,0,98,0,98,
0,0,0,67,0,0,0,
38,64,72,0,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,62,0,66,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,62,0,66,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
36,0,0,67,98,0,0,
0,64,0,0,0,98,0,
0,0,71,0,0,0,0,
37,0,0,0,98,98,98,
0,0,0,0,0,0,0,
38,66,72,69,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,0,0,0,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,0,0,71,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
40,0,0,0,98,98,0,
0,0,0,69,0,98,0,
38,0,0,0,0,0,0,
0,0,71,0,98,98,98,
0,0,72,54,0,0,0,
38,50,72,0,98,0,0,measures,4,,,,,
beats,4,,,,,
divisions,4,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
33,69,0,0,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
33,69,0,0,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
31,67,0,0,98,0,0,
0,0,0,0,0,98,0,
0,0,60,0,0,0,0,
32,68,60,64,98,0,98,
0,0,0,0,0,0,0,
33,69,0,0,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
33,69,0,0,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,62,0,0,0,0,
33,69,62,66,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
36,72,0,0,98,0,0,
0,0,60,64,0,98,0,
0,0,0,0,0,0,0,
33,69,0,0,98,0,98,
0,0,0,0,0,0,0,
33,69,59,63,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
33,69,0,0,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
33,69,0,0,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
31,67,0,0,98,0,0,
0,0,0,0,0,98,0,
0,0,0,64,0,0,0,
32,68,57,64,98,98,98,
0,0,0,0,0,0,0,
33,69,0,0,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
33,69,0,0,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,56,0,0,0,0,
36,69,0,66,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
33,72,0,64,98,98,0,
0,0,57,0,0,98,0,
36,0,0,0,0,0,0,
0,69,0,0,98,98,98,
0,0,59,0,0,0,0,
33,69,59,63,98,0,0,
