measures,4,,,,,
beats,4,,,,,
divisions,4,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
0,0,0,0,0,0,0,
0,0,0,67,0,0,98,
0,0,0,62,0,0,0,
31,0,0,0,98,98,0,
0,0,0,67,0,0,0,
0,0,0,0,0,0,98,
0,0,53,0,0,0,0,
36,57,0,72,98,0,0,
0,0,0,0,0,0,0,
0,0,0,67,0,0,98,
31,0,0,0,98,0,0,
0,0,0,62,0,98,0,
36,0,0,67,0,0,0,
0,0,0,0,98,0,98,
0,0,0,0,0,0,0,
31,59,55,71,98,0,0,
0,0,0,0,0,0,0,
0,0,0,67,0,0,98,
0,0,0,0,0,0,0,
31,0,0,62,98,98,0,
31,0,0,67,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
36,57,53,72,98,0,0,
0,0,0,0,0,0,0,
31,0,0,67,0,0,98,
31,0,0,0,98,0,0,
0,0,0,62,0,98,0,
36,0,0,67,0,0,0,
36,0,0,0,98,0,98,
0,0,0,0,0,0,0,
31,59,55,71,98,0,0,
0,0,0,0,0,0,0,
0,0,0,67,0,0,98,
0,0,0,0,0,0,0,
31,0,0,72,98,98,0,
0,0,0,0,0,0,0,
0,0,0,67,0,0,98,
0,0,50,0,0,0,0,
36,53,50,71,98,0,0,
0,0,0,0,0,0,0,
31,0,0,67,0,0,98,
31,0,52,0,98,0,0,
0,55,52,62,0,98,0,
36,0,0,67,0,0,0,
0,0,0,0,98,98,98,
0,57,53,69,0,0,0,
31,57,53,0,98,0,0,
0,0,0,65,0,0,0,
0,0,0,0,0,0,98,
0,0,0,60,0,0,0,
31,0,0,0,98,98,0,
0,0,0,65,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
36,60,57,69,98,0,0,
0,0,0,71,0,0,0,
31,0,0,0,0,0,98,
0,0,0,0,98,98,0,
0,59,55,69,0,98,0,
36,0,0,0,0,0,0,
0,0,0,65,98,98,98,
0,0,0,71,0,0,0,
31,59,55,0,98,0,0,
