measures,8,,,,,
beats,4,,,,,
divisions,2,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
64,64,64,64,98,0,98,
0,0,0,0,0,0,0,
0,0,0,0,98,98,98,
66,66,66,66,66,0,0,
67,67,67,67,98,0,98,
0,0,0,0,0,0,98,
67,67,67,67,98,98,98,
0,0,0,0,0,0,0,
66,66,66,66,98,0,98,
64,64,64,64,64,0,98,
62,62,62,62,98,98,98,
64,64,64,64,64,0,0,
66,66,66,66,98,0,98,
0,0,0,0,0,0,98,
0,0,0,0,98,98,98,
0,0,0,0,0,98,0,
72,72,72,72,98,0,98,
0,0,0,0,0,0,98,
0,0,0,0,98,98,0,
74,74,74,74,74,0,98,
76,76,76,76,98,0,98,
0,0,0,0,0,0,98,
76,76,76,76,98,98,0,
0,0,0,0,0,0,98,
74,74,74,74,98,0,0,
72,72,72,72,72,0,98,
71,71,71,71,98,98,98,
72,72,72,72,72,0,98,
74,74,74,74,98,0,0,
0,0,0,0,0,98,98,
0,0,0,0,98,98,98,
0,0,0,0,0,98,98,
66,66,66,66,98,0,98,
0,0,0,0,0,0,98,
0,0,0,0,98,98,0,
67,67,67,67,67,0,98,
69,69,69,69,98,0,98,
0,0,0,0,0,0,0,
67,67,67,67,98,98,98,
66,66,66,66,66,0,98,
67,67,67,67,98,0,0,
0,0,0,0,0,0,98,
64,64,64,64,98,98,98,
0,0,0,0,0,0,0,
71,71,71,71,98,0,0,
0,0,0,0,0,98,98,
0,0,0,0,98,98,98,
64,64,64,64,64,98,98,
63,63,63,63,98,0,0,
0,0,0,0,0,0,98,
59,59,59,59,98,98,98,
61,61,61,61,61,0,98,
63,63,63,63,98,0,0,
64,64,64,64,64,98,98,
66,66,66,66,98,98,98,
67,67,67,67,67,0,98,
69,69,69,69,98,0,0,
71,71,71,71,71,0,98,
69,69,69,69,98,98,98,
67,67,67,67,67,0,98,
66,66,66,66,98,98,0,
71,71,71,71,71,98,98,
78,78,78,78,98,98,0,
79,79,79,79,79,98,98,
