measures,4,,,,,
beats,4,,,,,
divisions,4,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,0,0,0,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,54,0,0,0,0,0,
38,0,0,57,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
36,0,0,0,98,0,0,
0,0,0,0,0,98,0,
0,0,0,0,0,0,0,
37,0,71,0,98,0,98,
0,0,0,0,0,0,0,
38,57,72,60,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,0,0,0,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,64,0,0,0,
40,60,0,0,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
38,0,0,0,98,0,0,
0,0,0,0,0,98,0,
40,0,71,0,0,0,0,
0,0,0,0,98,0,98,
0,0,0,67,0,0,0,
38,64,72,0,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,62,0,66,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,62,0,66,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
36,0,0,67,98,0,0,
0,64,0,0,0,98,0,
0,0,71,0,0,0,0,
37,0,0,0,98,98,98,
0,0,0,0,0,0,0,
38,66,72,69,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,0,0,0,98,98,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
38,0,0,71,98,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
40,0,0,0,98,98,0,
0,0,0,69,0,98,0,
38,0,0,0,0,0,0,
0,0,71,0,98,98,98,
0,0,72,54,0,0,0,
38,50,72,0,98,0,0,
